address,stutia,stuatom,stuosmo
stride1088zdc7lxqvh7mwyv46cr6s3asydvwe2qwhh86,0,436038,362667
stride10893eq4mmxmjstyanhx33x0ae89gqf8mx5ezgc,0,9277783,0
stride108a3mqnnyv86neuh2q4vdlu33ja7fhquv2sccy,0,1274260,4053973
stride108c85ld7y0s984c2cem9pmfzt6qwra9wndyjma,0,6600308,0
stride108cgdadaxl4r7cu7pn5y7wugw9tdc6hqjy58gw,1515789,0,0
stride108fq7uplydjzd9f5pcqmq4ae49dsrekj5gjns0,99979999,0,0
stride108gk4c5jxhdpytkk67j8rhhku03wzphtug3dm4,4425849,0,0
stride108gvrsya3g5pknyz9deqm0xstrf9n4s23hgrag,200107,0,112297
stride108m7tzjcjceahcydlgc83fax37g826hrfng67c,223099,0,0
stride108nm3f66cllgj70q6aumctc7cslkn3vsx3hye4,0,1030254,0
stride108p58au28w89gxtfcmsutuq033qwaaxhcczxyr,0,327763,0
stride108qgn3w3rfp76ss20u3rmcky4m52pgarkf05pf,3000000,896657,231297
stride108qrg6xme62hdak4n9630sucv3jf72q59h9v4s,0,10592868,0
stride108rqwjaffph0lvdyd7fc7tpnrx4n8h4rjhl4v5,0,0,453883
stride108rvyvcs67quc5nuqh6w7t23cnxltrjct68fzf,129999,0,0
stride108s64wcfl0ntp0mt22mv9vkfhev00tumqxpsc7,1079999,0,0
stride108srd9z6rpfzyc3278gy0elcxpmstw5uyfy5kv,5399998,1017509,0
stride108t2jfww24pauhd2qevftkl8me77da0zmzqte3,1455868,544116,210567
stride108t6djm7mvuxwgtm8hrk7vzumue506tvgwurnz,0,0,116737
stride108vcmnctyv07a89y8xj5249ystfz7f22wtl5yg,0,0,214790
stride108wtdtp993vfuett9lpvvmvnv3wqz92rn5f47f,0,7846149,0
stride108x8h4755levyga6ua9smm3nwegwqzjex9untn,0,102293,166097
stride108xeg66rdxzcw2fkfmxcrt4594k6539cuaxnpj,6500000,0,0
stride108yhj5h3ep9k5tuusgmc5ndagptld6ukf7hr7e,19479999,0,0
stride108yw43as5l6gchwx8f6xa2d9zce45gw0pkme9f,0,0,168419
stride108zywhh8n639tgqelft6hx2rcaqljxephq75cp,4380000,0,0
stride10902j8s6hr6xgaxzq372ns0mdcyxg4c0znxagj,0,155897659,0
stride10905rstxf5tzj0w6gguaa76ma7s32v48urpp0f,0,0,133307
stride1092ueccvmzf8ue3khvdfem8mdncq4zs5pqn3ag,0,0,916211
stride1093ktah84gnk6n00rtdche3yz9wwrlr4nuq3ar,0,4649519,0
stride10962jenlsq0sfqmd3q026ye0kcceder5d3s085,0,0,556775
stride1098nha0z7d43k2uh2as7a3ywx2q3w8wjmucwgw,0,3294682,138379
stride1098yalje4lgdmqg2xz68ahggtydfhhw7qk8w4m,0,139803,0
stride1099rnyrk4uahkf78gk48kgsm4khn3swn2e56nu,2459998,0,0
stride109aqm3ug3zhcmv45yhjcf2vryfwh5t2l9k6k4l,0,23980305,0
stride109as32auw8xdurf72gclyk26ulml297ksle866,0,1108435,3861443
stride109f0qf08fp5u4q6j96v6w6w034kzhw9f89nquz,0,104195,125355
