address,amount,denom,usd_value
dym10etck6lrtxm9tutmtsrwufqsmn5tshuv8e6ade,32.204061,stutia,528.46864101
dym10evxeny4jajc4l4cayfchsh82c6ddc7kc68e46,6.764558,stutia,111.00639678
dym10f0mc6xjxnlvzsugv7s7u3qjrdnn40nf9qrutx,22.17356,stutia,363.8681196
dym10h6k4pu4pfagnwts0g4y5p9x4d0uks2lg3367n,78.358219,stutia,1285.85837379
dym10j0qnk4t4tukzf6alddnqure8dz2pd7ufwmyul,496.355075,stadym,3405.4425340675
dym10j5squyaqm3kwuwed2ph2ze8936trvtkdnpd6w,10.702074,stutia,175.62103434
dym10j6cnc5r5uuxz7mwmywrrhwz3jv9eg5hhywq7e,8.039027,stutia,131.92043307
dym10khsyyfsw43l50qc3r2w790wfas78e75jhtlzr,23.974487,stutia,393.42133167000003
dym10l2y223pe5leym7ela7dlvpgns9pnqdflqva3a,104.928219,stutia,1721.87207379
dym10lvwef27w2820fygc0s2m2ca2qgvm2ukyhv8c7,15.0354,stadym,103.15637586
dym10lxxg0dtmqljawvp43asc55u27wjkdvuxqjjrj,12.841577,stutia,210.73027857
dym10ma745xjk8533jpug4myw75gjvftlw8zgwu7fr,38.687428,stutia,634.86069348
dym10pk6yv0cup2y0caa33evc60k05n8g0d3m0h58m,122.934845,stutia,2017.36080645
dym10rp9shxe0md8srqh7q48yzvfy2z9mma32ldayh,15.744545,stutia,258.36798345
dym10tlwet4a9dpu3k883d0q50m25yka57sgvl4wuc,16.748657,stutia,274.84546137
dym10uvnyzwzy3gcqhq49mygtcvdv340xvw9ggu83v,36.782151,stutia,603.5950979099999
dym10xwqgafdc39fhvvfhevhhxv49jygp88cqfks0e,51.558363,stutia,846.07273683
dym10y8l75kqlpz4rr8cn37la45q90wlgcwsvgrzl6,40.265882,stutia,660.76312362
dym10yl4pj3lcs9hd0y07lcq8qqeza630lxtaj03dv,49.98,stadym,342.907782
dym10ztjj8vpkurusqj6jfjkuy3qweyhj5n4tcgu0n,9.787629,stutia,160.61499189000003
dym124a2kd7wars70ehc33f756lk0uu399m2szve0c,7.92444,stutia,130.0400604
dym1254vs6wekwj3tdlv2dxt0739cyhg8dzawtr9z6,29.35794,stutia,481.7637954
dym125xlr453md3cetwr6jdz222k7z9uvtram64uc0,28.637395,stutia,469.93965195000004
dym125xlr453md3cetwr6jdz222k7z9uvtram64uc0,12.962744,stutia,212.71862904000002
dym125zmwgas3c4vl40hfju4f4przvtwqvdnkfk8w3,10.212899,stutia,167.59367259
dym126k0r0wcs8tagf4x9s06sea93ykevfg4z5ktel,25.489802,stutia,418.28765082
dym128nxc6tgdmc6h22x3qq89l22q274vndemtsxkr,10.390735,stutia,170.51196134999998
dym128tq8ftezdlzdmh8hs2g46hfpzgeak92hcyumg,31.924772,stutia,523.88550852
dym12aw8ajk3sp2dh2a5up7psf34hnwfqs4wsph7ky,31.726044,stutia,520.62438204
dym12dmh5kfxv4qd55nv6ypqe66fsa6wkm5qavcuqr,47.408438,stutia,777.9724675799999
dym12ew483jdv69l9xdjupqmrklnca8dkjjmkdu943,59.863646,stutia,982.36243086
dym12g4usxa0wr6ywey2lvstqk64zqltmvhdeyxxlw,19.204183,stutia,315.14064303000004
dym12ggqx0znmsj0yalzn6nxhpsrsur7ee8ykfppzj,104.41291,stutia,1713.4158531
dym12jrajfazu0kxlv0vlq0gsev0yqq5cwgxg8rxme,40.144208,stutia,658.76645328
dym12jtjwzkyd7n5gpdwlft6387z60eyescz8pe3d7,49.149837,stadym,337.2121166733
dym12jx57t7ffrfjdeqq6qlhk0hs8nn9geuaj0dmar,6.927614,stutia,113.68214574000001
dym12kkrvjptr20gkkc5garvycegsph5ss8kgvgk6q,27.483638,stutia,451.00649957999997
dym12m3vmzgn5cwv39vyen26qthnuvradge53ha3ff,33.067504,stutia,542.63774064
dym12mzj0rqd4fj9jzh0jwgwpy2a2fruny9jkaez4u,42.98529,stutia,705.3886089
dym12n9sluzf7kfu920degcpjfjqpc705xkdupxy2x,19.021861,stutia,312.14873901000004
dym12nk6czhnmdsq8fle7psh7n6n7fd7pwva22jeju,7.89661,stutia,129.5833701
dym12nqvwng60xcuc60lte7necf2huw32pq8268tnd,37.369283,stutia,613.2299340300001
dym12ra9p73qxtv9avka5vpe9xl4dzr24xhmdjhyae,19.881156,stutia,326.24976996000004
dym12tj7nxe00ezuxnxaqsnag9er5yytqj97ttffep,86.759238,stutia,1423.71909558
dym12wmlcr0hmaxgvmwzn86sejkqcpvxp28racn2zv,37.848514,stadym,259.6748697026
dym12wmlcr0hmaxgvmwzn86sejkqcpvxp28racn2zv,870.438343,stadym,5971.9904274887
dym12x8musaj22jkkxkd3zp8adpxjsv28nnefshxt5,97.707747,stutia,1603.38412827
dym12y6qluqktalgfprelhelsdlp2asa8wmdr5yapa,55.423906,stutia,909.50629746
dym12yfnuu5q626d65kjjrxgthucyse796epy24mk9,8.367098,stutia,137.30407818
dym12z9ne9ewxrsc4cqskt4wezp2d02hc9pf2wslku,23.201574,stutia,380.73782934
dym12zt0am2j7p75tfmy8ql6nnnc6ygge4s8ka2ezs,32.695971,stutia,536.54088411
dym1300t4zvz8rx8zpmwxhcv4y7xdga4952suxlqhe,34.9,stadym,239.44540999999998
