address_on_stride,amount,denom,date
stride13tvzeac6jfn7k6qaqf2tgk999v8reg5e323f5p,100.040787,sttia,2024-02-29
stride13u4thxrnku2z9cu7pvqc3dtdz0nyzqy374zwdl,1011.566653,sttia,2024-02-29
stride13u7av6rl80tqvqa9cy5t6v7hvnavpff4gkf50a,100.751641,sttia,2024-02-29
stride13ue68df80pfrz7dy630r2txcavwsexum9ngrp5,209.873106,sttia,2024-02-29
stride13ut5ujp3lergtu6320f2wmvgc7stnxwt0sdcek,178.962378,sttia,2024-02-29
stride13uyd8qummw8kfsg6eedxh2lgt4msj3s4ak8jt3,100.009437,sttia,2024-02-29
stride13vg50ze74zcu5j4vf5v9rkc0u3h3k3mxutfjww,119.736563,sttia,2024-02-29
stride13w0k66mqv39dkcqjzedlh27t8d0awguu5nrspa,348.84307,sttia,2024-02-29
stride13wq8cfjdshlj0ju3tqac75lp9paymcqljyz6uw,42454.215851,sttia,2024-02-29
stride13wt238vu4z5e3kmtkglvjvl9h9c2vunxkpvge8,376.936088,sttia,2024-02-29
stride13x9lwg7evqja4h5z8k4w2xjcsnf6l6dcf6pljs,366.843837,sttia,2024-02-29
stride13xr9grp9kwxc85yl66edpn0uyvu29rcj5syvys,128.515017,sttia,2024-02-29
stride13y82ad7tu4anm4vpwjapfzuc603kmyz83uw74k,143.185156,sttia,2024-02-29
stride13zytaeq4kgmx53dsa56c2p9r6exp00jw885ecp,100.0,sttia,2024-02-29
stride1424hh8yskdpkmjwj3qunwrlkgzf9y37470vuat,100.1,sttia,2024-02-29
stride1428dpgezrcm40j72rljuvsqxth5j5p8ny5kfa7,1021.234066,sttia,2024-02-29
stride1434zluxmfj85vwpc3stk03wrcuzrqllcyvmsmp,102.84538,sttia,2024-02-29
stride143d9q8kag35kssfpeqqmclmc3gyk84d72tg0up,133.357145,sttia,2024-02-29
stride143jmw3jfykfl7lr4yxu5yvxpy06wnqw3sqtvkt,578.542039,sttia,2024-02-29
