,stutia,sttia,strd
stride13rw7x7a50qtkyysnrc3qw92pj899wyu7stj2p6,21160000,21.16,10.187181298919636
stride13s4tesq3x0zsyhj4wgfmw44gwrhw3gzv457vxm,10000000,10.0,4.8143578917389585
stride13sj7q26k96n24ydx9wp59y7yl2av06da9xaygz,10000000,10.0,4.8143578917389585
stride13symmalxhmnyxg4nckxenkfgfmpjypranrvlsn,3832790,3.83279,1.8452422783878164
stride13tg9eyqchpcv6r9c8j52ql27sh9fjpznmj2ghf,1031240,1.03124,0.49647584322768834
stride13tle4lg5x56zh9ahn75sq3k9h9h268dw7h9zz6,6380000,6.38,3.0715603349294556
stride13u8yzkdqgw2u20z5dzxtwv903e4mccj49h54cd,1845040,1.84504,0.8882682884574048
stride13up3r5wyheycdu4vc8quvdpxapt3dp74klg2ps,2050000,2.05,0.9869433678064864
stride13vel2hu29ehrnmpcvduewz9en35jqqefl2hxh0,1110000,1.11,0.5343937259830245
stride13vymnsdfl5a2z60zfexz2eqxm9zgcpc5n7s4sl,280000,0.28,0.13480202096869084
stride13xfms7jfsy2zlvuy648yjy4fjj86an0r207n6u,55980000,55.98,26.95077547795469
stride142eu353cf9z6aurg3k9uyd909h7yjzhw800w8f,1480000,1.48,0.7125249679773659
stride142vmhdrhntqj8hh3sgf2a9g06k8fjswcgruyc3,1000000,1.0,0.4814357891738959
stride143679htpup9yky3wlm6yhm3feul9fuh7hp4rvk,20000000,20.0,9.628715783477917
stride1442ks20qpww9e2rkt4edxj6qcjzhm500gqwmv4,1000000,1.0,0.4814357891738959
stride14640tst2rx45nxg3evqwlzuaestnnhm87yca9n,300000,0.3,0.14443073675216875
stride1464yhs24zn67pnjx5tu5r8rcc2n8ehu7f8t8ea,78062140,78.06214,37.58190797550314
stride1465g9x9m9g2dx40waw33qmg5yqynlfl83zhrm8,290780,0.29078,0.13999189877598542
stride146sl6lx6kf0thv4ngfwr9h6zz5m37ycghe7gmw,980000,0.98,0.4718070733904179
stride146t6v0n38npnk34wg54d5hxtxg24f5mmz2plet,2000000,2.0,0.9628715783477918
stride146zu82ys6dvr25zuslw545ynkygaug9a8awazc,6524710,6.52471,3.1412289079808104
stride14aa24ymveyqrz00xwtuhz7vu43svu5p9s627a4,1020000,1.02,0.4910645049573738
stride14ads59fz58mpukdqsrvwsfwzrl48d72zfsgcsf,10980000,10.98,5.286164965129377
stride14cwnsac0adc9wpgszn5k9u4meh8rwyjhmhu0f7,10000000,10.0,4.8143578917389585
stride14du5yffpllly7f7smw00wp2j2y6n8kr3vqy9jd,150000,0.15,0.07221536837608437
stride14ek8x7prpmrqhvvysumqzhapl32ku7er5tfd8w,285600000,285.6,137.49806138806466
stride14gf0mgqn33rm5wa95a677schmnltlac9alqevv,14960000,14.96,7.202279406041483
stride14gg4kn3343pxz9fw8y856l69zntd5xfevqrhx2,9635820,9.63582,4.639028606037609
stride14gv23dpfyqen60lx0ctafgte95wtc8mzv66g9h,40133220,40.13322,19.32156844278958
stride14jwyhvu82sapztxjha5k0rk7g65nvgn4u23v6m,25000000,25.0,12.035894729347397
stride14lav6cz3ud7f4dxlggrttf0zzkrxjhxk659m63,101000000,101.0,48.62501470656348
stride14mjn8fs2seytqpdv6vuls52uvmyf3ue2dfapvc,20794970,20.79497,10.011442792797489
stride14mwhegj74cs90nlgdfmrgjlgd7rpq0yxmscdd2,2813800,2.8138,1.354664023577508
stride14pufh3h3pgzxqazpl9yn0svnd2gn3zvrhmzn5h,39980000,39.98,19.247802851172356
stride14qruq2wpmjetm0emmfdv403kj55ldfaxpku8y0,61093820,61.09382,29.412751445347944
stride14rgzp055gqjzv707k33qa6n7s3vy7wmv39z5vv,1793000,1.793,0.8632143699887953
stride14rj54xwqsdmlqllh0lxxakxzr2mgt93qljwnhn,2980000,2.98,1.4346786517382095
stride14rtjh6hhuktk6y6y7d96yav9zt4lkgt7yuq90k,2145000000,2145.0,1032.6797677780066
stride14sjaavwm4xvm5yg8phhwm44ysdycyc4uqna8w2,19350000,19.35,9.315782520514885
stride14suu88kq2mt83k3cel9yad5925s725et2swekj,137700000,137.7,66.29370816924545
stride14t9zww7pad3w25ed3a507sqqjmzejrp2dcucwr,1138970,1.13897,0.5483409207953922
stride14uakfprgzgrlpzvaljyl4cnmg8qxfu2tpud3er,22240000,22.24,10.707131951227444
stride14wrw8s7l06d5n230p94u0kh9ww3kz4zvx046an,1954510,1.95451,0.9409710642982712
stride14wv264ngauxx9v5kyrc33yd6q3ek2jvdhje6q6,40010000,40.01,19.262245924847573
stride14x5ygfd7d2ufr9pqlhfwg5ph045wpyrytlfw6n,60680000,60.68,29.213523687071998
stride14xrfwpjmh69y67v2tvz7ncqh7m390tpwehu2kn,583695500,583.6955,281.01190367975175
stride14yqr2q5u4sehadtfxx4rh4rjxzfht6ec8tlrjt,981640,0.98164,0.47259662808466313
stride14yx2q95e7a75qx2p85mp46e95dhlk8yyc0lv5p,2480000,2.48,1.1939607571512618
stride14zsgv4qfmk5ujpn848ve5tlzuyx4pqde856m7d,87910150,87.91015,42.323092441645564
stride150dv8elnh6j7jnx07tk944u7h8ymqep0dgf0dq,14780550,14.78055,7.115885753674226
stride1522d84ks2klcl9nvngagppf7j9cke0ctdp8jc7,428060,0.42806,0.20608340391377786
stride1529q4wl4xsaujk3v08p8pgu5yc8dawrah20xvz,14000000,14.0,6.740101048434542
stride1537m5x5t7j75mk7paunsq9z5w8f984mw9lk038,4480000,4.48,2.1568323354990535
stride154qggy89597vszvypep78ws0t6n284wer5yejs,5000000,5.0,2.4071789458694792
stride155kqt5z0sz8avhx6l3dm789pn4ncxzq0m6d7t7,37827820,37.82782,18.211666374428084
stride156x09nynr09sxg58hf598cutfclmyp00u7zl2p,1480000,1.48,0.7125249679773659
stride1577mlcp0lzk79hv2j7a2feq88a60h89g0vwwls,97552160,97.55216,46.965101135218156
stride157zwevlcv8086893rzmcpm0t0quqqjkq06tuvj,1000000,1.0,0.4814357891738959
stride1580y8yqem845hdp6mhzkf7pc5xptcfl6c6rkx4,8000000,8.0,3.851486313391167
stride158ddh954pzt3etjh0yqe8lp7ax0pz6pclcz55g,151000000,151.0,72.69680416525829
stride158snrgnpu0kmstj0zzg0mju8c2em5xty4l9w89,1400000,1.4,0.6740101048434541
stride15dc22q3g9x7h7fesqrj0chs9pfq7qs532zmqh2,1500000,1.5,0.7221536837608438
stride15evfcwaxz0vehtgpajjgdz7hexn0fkwhpkydt5,5980000,5.98,2.8789860192598975
stride15fffdah7nt9eh6kg7pswt5ea0qdjqqk3t4a2gc,1976250,1.97625,0.9514374783549118
stride15gp2zjwy9p7d2svmpxqdcd3cf6p9tvvpjnsdr9,2480000,2.48,1.1939607571512618
stride15heg4vvf24zs86zxr3gerpgu35ge3qjqlluz26,6639710,6.63971,3.196594023735808
stride15hp9whhe26h0k578wsfgxpw3zjzypycn9ueh7v,940990,0.94099,0.45302626325474427
stride15hz2v3mj08jhgjyxc3t0dzrv3k937nvfd53986,155659140,155.65914,74.93988090802995
stride15hzs95tm0495h4dmptatlf7ss7h3gq6kpq0vgd,10103970,10.10397,4.864412770739369
stride15j7g66x5y99d9kjs0zvkvejgyhpgfaelxez5q7,5000000,5.0,2.4071789458694792
stride15msd8pqawlv52z980mxknkz3qyzs5z8xj8ahaw,3100000,3.1,1.4924509464390772
